customer_id,date,channel,treatment,campaign_id,pre_period_revenue,post_period_revenue,frequency,recency,T,monetary_value,segment,segment_value
C00103,2023-05-15,organic,0,organic_content_boost,228.71305979039076,417.52076158977746,3.0,150.0,543.0,276.34,Mid,1
C00232,2023-05-21,referral,0,referral_member_get_member,464.17669805271703,0.0,1.0,34.0,514.0,328.55,Low,0
C00169,2023-05-22,referral,1,referral_member_get_member,642.8190830965042,113.62907272113331,6.0,252.0,569.0,273.8016666666667,Mid,1
C00271,2023-05-22,organic,0,organic_content_boost,496.6440709984489,363.4012201840617,2.0,133.0,597.0,427.365,Mid,1
C00299,2023-05-22,paid_social,1,paid_acquisition_refresh,307.5976613739484,659.6670985519428,7.0,442.0,536.0,241.28285714285715,High,2
C00137,2023-05-26,sms,0,sms_flash_sale,447.2402059194255,64.0617362144135,7.0,276.0,563.0,285.12,Mid,1
C00146,2023-05-28,sms,1,sms_flash_sale,1042.5768065504833,439.9938625717397,8.0,289.0,567.0,245.3375,Mid,1
C00116,2023-05-29,push,1,push_reengagement,517.3282953066805,468.3442968520033,8.0,386.0,534.0,273.79,High,2
C00249,2023-05-31,organic,0,organic_content_boost,0.3785664397841684,492.0973067007576,7.0,298.0,447.0,243.20285714285717,High,2
C00055,2023-06-01,push,0,push_reengagement,186.99885266818023,340.595318487659,4.0,147.0,592.0,253.4425,Low,0
C00149,2023-06-08,organic,0,organic_content_boost,751.5823206236474,0.0,1.0,8.0,493.0,379.69,Low,0
C00035,2023-06-11,referral,0,referral_member_get_member,4.4759249098584295,416.3086222981391,1.0,28.0,456.0,325.8,Mid,1
C00278,2023-06-11,email,0,email_retention_q3,653.4152007749809,526.1173090190924,8.0,249.0,522.0,250.61125,Mid,1
C00044,2023-06-13,paid_social,0,paid_acquisition_refresh,539.0846847381199,8.97815408410548,1.0,39.0,525.0,217.67,Low,0
C00068,2023-06-17,email,0,email_retention_q3,87.90541927667644,0.0,8.0,473.0,551.0,168.5,High,2
C00126,2023-06-18,push,0,push_reengagement,483.8633854068136,264.32725008565194,4.0,127.0,466.0,180.585,Mid,1
C00216,2023-06-18,referral,0,referral_member_get_member,418.4099050165723,45.01588756141318,6.0,351.0,467.0,258.87,High,2
C00245,2023-06-20,email,0,email_retention_q3,212.67497371838286,781.8609345137154,4.0,205.0,494.0,222.91,Mid,1
C00279,2023-06-20,organic,0,organic_content_boost,474.3260492063768,805.6238024052955,7.0,392.0,568.0,344.2714285714286,High,2
C00006,2023-06-21,sms,0,sms_flash_sale,222.69330827764082,135.90921853928842,3.0,246.0,478.0,208.35666666666668,Mid,1
C00195,2023-06-22,paid_social,0,paid_acquisition_refresh,329.0888846995823,0.0,1.0,83.0,457.0,382.19,Mid,1
C00132,2023-06-23,paid_social,0,paid_acquisition_refresh,260.0179183301928,738.652949530831,5.0,313.0,509.0,194.564,Mid,1
C00171,2023-06-23,referral,0,referral_member_get_member,176.6131256047633,478.36213416855867,5.0,194.0,496.0,304.694,Mid,1
