date,revenue,group_type,group_value
2023-01-22,317.39,channel,email
2023-01-23,0.0,channel,email
2023-01-24,0.0,channel,email
2023-01-25,0.0,channel,email
2023-01-26,0.0,channel,email
2023-01-27,0.0,channel,email
2023-01-28,0.0,channel,email
2023-01-29,0.0,channel,email
2023-01-30,434.13,channel,email
2023-01-31,229.43,channel,email
2023-02-01,0.0,channel,email
2023-02-02,0.0,channel,email
2023-02-03,0.0,channel,email
2023-02-04,0.0,channel,email
2023-02-05,0.0,channel,email
2023-02-06,0.0,channel,email
2023-02-07,0.0,channel,email
2023-02-08,262.17,channel,email
2023-02-09,0.0,channel,email
2023-02-10,510.48999999999995,channel,email
2023-02-11,367.09,channel,email
2023-02-12,0.0,channel,email
2023-02-13,0.0,channel,email
2023-02-14,228.02,channel,email
2023-02-15,0.0,channel,email
2023-02-16,0.0,channel,email
2023-02-17,311.24,channel,email
2023-02-18,0.0,channel,email
2023-02-19,471.46999999999997,channel,email
2023-02-20,0.0,channel,email
2023-02-21,0.0,channel,email
2023-02-22,286.33,channel,email
2023-02-23,465.18,channel,email
2023-02-24,0.0,channel,email
2023-02-25,245.39999999999998,channel,email
2023-02-26,0.0,channel,email
2023-02-27,308.66,channel,email
2023-02-28,0.0,channel,email
2023-03-01,0.0,channel,email
2023-03-02,429.14,channel,email
2023-03-03,474.71,channel,email
2023-03-04,50.03,channel,email
2023-03-05,46.59,channel,email
2023-03-06,0.0,channel,email
2023-03-07,227.33,channel,email
2023-03-08,248.34,channel,email
2023-03-09,480.69,channel,email
2023-03-10,191.54,channel,email
2023-03-11,0.0,channel,email
2023-03-12,0.0,channel,email
2023-03-13,0.0,channel,email
2023-03-14,0.0,channel,email
2023-03-15,42.74,channel,email
2023-03-16,0.0,channel,email
2023-03-17,441.37,channel,email
2023-03-18,0.0,channel,email
2023-03-19,0.0,channel,email
2023-03-20,64.03,channel,email
2023-03-21,302.07,channel,email
2023-03-22,0.0,channel,email
2023-03-23,373.98,channel,email
2023-03-24,0.0,channel,email
2023-03-25,601.3,channel,email
2023-03-26,736.62,channel,email
2023-03-27,326.14,channel,email
2023-03-28,646.77,channel,email
2023-03-29,0.0,channel,email
2023-03-30,0.0,channel,email
2023-03-31,64.91,channel,email
2023-04-01,0.0,channel,email
2023-04-02,0.0,channel,email
2023-04-03,463.65999999999997,channel,email
2023-04-04,0.0,channel,email
2023-04-05,0.0,channel,email
2023-04-06,0.0,channel,email
2023-04-07,88.98,channel,email
2023-04-08,342.68,channel,email
2023-04-09,305.39,channel,email
2023-04-10,444.84,channel,email
2023-04-11,0.0,channel,email
2023-04-12,560.71,channel,email
2023-04-13,0.0,channel,email
2023-04-14,452.13,channel,email
2023-04-15,187.17,channel,email
2023-04-16,461.04,channel,email
2023-04-17,0.0,channel,email
2023-04-18,501.05,channel,email
2023-04-19,441.95,channel,email
2023-04-20,0.0,channel,email
2023-04-21,238.07,channel,email
2023-04-22,22.61,channel,email
2023-04-23,0.0,channel,email
2023-04-24,0.0,channel,email
2023-04-25,0.0,channel,email
2023-04-26,163.4,channel,email
2023-04-27,0.0,channel,email
2023-04-28,110.39,channel,email
2023-04-29,0.0,channel,email
2023-04-30,0.0,channel,email
2023-05-01,0.0,channel,email
2023-05-02,0.0,channel,email
2023-05-03,419.61,channel,email
2023-05-04,0.0,channel,email
2023-05-05,630.45,channel,email
2023-05-06,484.35,channel,email
2023-05-07,475.66,channel,email
2023-05-08,0.0,channel,email
2023-05-09,101.75,channel,email
2023-05-10,656.1199999999999,channel,email
2023-05-11,614.6,channel,email
2023-05-12,139.01,channel,email
2023-05-13,0.0,channel,email
2023-05-14,0.0,channel,email
2023-05-15,84.55,channel,email
2023-05-16,541.52,channel,email
2023-05-17,83.62,channel,email
2023-05-18,478.81,channel,email
2023-05-19,465.23,channel,email
2023-05-20,0.0,channel,email
2023-05-21,0.0,channel,email
2023-05-22,0.0,channel,email
2023-05-23,912.4200000000001,channel,email
2023-05-24,0.0,channel,email
2023-05-25,0.0,channel,email
2023-05-26,260.5,channel,email
2023-05-27,0.0,channel,email
2023-05-28,0.0,channel,email
2023-05-29,207.23,channel,email
2023-05-30,0.0,channel,email
2023-05-31,0.0,channel,email
2023-06-01,0.0,channel,email
2023-06-02,107.12,channel,email
2023-06-03,0.0,channel,email
2023-06-04,0.0,channel,email
2023-06-05,311.15,channel,email
2023-06-06,154.09,channel,email
2023-06-07,20.51,channel,email
2023-06-08,0.0,channel,email
2023-06-09,61.07,channel,email
2023-06-10,76.21,channel,email
2023-06-11,0.0,channel,email
2023-06-12,0.0,channel,email
2023-06-13,0.0,channel,email
2023-06-14,0.0,channel,email
2023-06-15,36.84,channel,email
2023-06-16,293.59,channel,email
2023-06-17,375.41,channel,email
2023-06-18,372.5,channel,email
2023-06-19,0.0,channel,email
2023-06-20,553.04,channel,email
