date,revenue,group_type,group_value
2023-01-23,317.39,channel,email
2023-01-30,434.13,channel,email
2023-02-06,229.43,channel,email
2023-02-13,1139.75,channel,email
2023-02-20,1010.73,channel,email
2023-02-27,1305.57,channel,email
2023-03-06,1000.47,channel,email
2023-03-13,1147.9,channel,email
2023-03-20,548.1400000000001,channel,email
2023-03-27,2340.11,channel,email
2023-04-03,1175.3400000000001,channel,email
2023-04-10,1181.8899999999999,channel,email
2023-04-17,1661.0500000000002,channel,email
2023-04-24,1203.68,channel,email
2023-05-01,273.79,channel,email
2023-05-08,2010.0700000000002,channel,email
2023-05-15,1596.03,channel,email
2023-05-22,1569.18,channel,email
2023-05-29,1380.15,channel,email
2023-06-05,418.27,channel,email
2023-06-12,311.88,channel,email
2023-06-19,1078.34,channel,email
2023-06-26,2178.0,channel,email
2023-07-03,1618.31,channel,email
2023-07-10,2767.54,channel,email
2023-07-17,1387.31,channel,email
2023-07-24,1826.71,channel,email
2023-07-31,2173.91,channel,email
2023-08-07,1089.6100000000001,channel,email
2023-08-14,1198.08,channel,email
2023-08-21,1354.4099999999999,channel,email
2023-08-28,1299.25,channel,email
2023-09-04,1236.35,channel,email
2023-09-11,1030.3600000000001,channel,email
2023-09-18,2715.71,channel,email
2023-09-25,950.63,channel,email
2023-10-02,1812.5,channel,email
2023-10-09,961.6099999999999,channel,email
2023-10-16,1053.1599999999999,channel,email
2023-10-23,1346.3200000000002,channel,email
2023-10-30,660.3399999999999,channel,email
2023-11-06,713.6600000000001,channel,email
2023-11-13,1644.1799999999998,channel,email
2023-11-20,559.58,channel,email
2023-11-27,1803.56,channel,email
2023-12-04,1282.99,channel,email
2023-12-11,563.88,channel,email
2023-12-18,1396.4099999999999,channel,email
2023-12-25,468.2,channel,email
2024-01-01,760.4300000000001,channel,email
2024-01-08,699.65,channel,email
2024-01-15,1219.61,channel,email
2024-01-22,889.73,channel,email
2024-01-29,230.81,channel,email
2024-02-05,0.0,channel,email
2024-02-12,391.72,channel,email
2024-02-19,368.09,channel,email
2024-02-26,0.0,channel,email
2024-03-04,522.84,channel,email
2024-03-11,0.0,channel,email
2024-03-18,405.46999999999997,channel,email
2024-03-25,0.0,channel,email
2024-04-01,465.6,channel,email
2024-04-08,0.0,channel,email
2024-04-15,0.0,channel,email
2024-04-22,0.0,channel,email
2024-04-29,0.0,channel,email
2024-05-06,0.0,channel,email
2024-05-13,0.0,channel,email
2024-05-20,380.4,channel,email
2024-05-27,0.0,channel,email
2024-06-03,780.15,channel,email
2023-01-30,472.35,channel,organic
2023-02-06,326.96,channel,organic
2023-02-13,361.62,channel,organic
2023-02-20,729.8499999999999,channel,organic
2023-02-27,1392.72,channel,organic
2023-03-06,1753.77,channel,organic
2023-03-13,744.17,channel,organic
2023-03-20,707.73,channel,organic
2023-03-27,398.40999999999997,channel,organic
2023-04-03,1084.65,channel,organic
2023-04-10,1401.81,channel,organic
2023-04-17,2028.45,channel,organic
2023-04-24,2635.77,channel,organic
2023-05-01,1211.51,channel,organic
2023-05-08,2009.93,channel,organic
2023-05-15,1247.29,channel,organic
2023-05-22,2868.47,channel,organic
2023-05-29,2008.46,channel,organic
2023-06-05,2262.2799999999997,channel,organic
2023-06-12,1395.1,channel,organic
2023-06-19,450.2,channel,organic
2023-06-26,1216.3,channel,organic
2023-07-03,2210.52,channel,organic
2023-07-10,1435.77,channel,organic
2023-07-17,3097.89,channel,organic
2023-07-24,831.1300000000001,channel,organic
2023-07-31,426.96,channel,organic
2023-08-07,1311.73,channel,organic
2023-08-14,1452.03,channel,organic
2023-08-21,2095.56,channel,organic
2023-08-28,214.92000000000002,channel,organic
2023-09-04,2003.04,channel,organic
2023-09-11,1067.81,channel,organic
2023-09-18,1241.22,channel,organic
2023-09-25,1796.56,channel,organic
2023-10-02,877.06,channel,organic
